time_utc,open,high,low,close,tick_volume,spread
2025-04-22 15:45:00+00:00,1.147,1.14772,1.14655,1.147,1309,0
2025-04-22 16:00:00+00:00,1.14703,1.14722,1.14561,1.14644,1685,0
2025-04-22 16:15:00+00:00,1.14644,1.14679,1.14621,1.14646,1094,0
2025-04-22 16:30:00+00:00,1.14646,1.14667,1.1457600000000001,1.14662,1735,0
2025-04-22 16:45:00+00:00,1.14662,1.14851,1.14662,1.1474199999999999,1537,0
2025-04-22 17:00:00+00:00,1.14744,1.14751,1.14611,1.14655,1382,0
2025-04-22 17:15:00+00:00,1.14655,1.14714,1.1463,1.14642,1031,0
2025-04-22 17:30:00+00:00,1.14642,1.14923,1.1463700000000001,1.14857,1569,0
2025-04-22 17:45:00+00:00,1.14857,1.14911,1.14744,1.1478,1662,0
2025-04-22 18:00:00+00:00,1.1478,1.14857,1.14767,1.14832,1599,0
2025-04-22 18:15:00+00:00,1.14832,1.14849,1.14758,1.14773,1277,0
2025-04-22 18:30:00+00:00,1.14773,1.14815,1.1476899999999999,1.14785,1146,0
2025-04-22 18:45:00+00:00,1.14785,1.14802,1.14638,1.14649,1102,0
2025-04-22 19:00:00+00:00,1.14649,1.14688,1.14499,1.14596,1892,0
2025-04-22 19:15:00+00:00,1.14596,1.14612,1.14398,1.14514,1729,0
2025-04-22 19:30:00+00:00,1.14513,1.14526,1.14429,1.14461,1174,0
2025-04-22 19:45:00+00:00,1.14461,1.14469,1.1433200000000001,1.14339,1066,0
2025-04-22 20:00:00+00:00,1.14339,1.14372,1.1431,1.14345,952,0
2025-04-22 20:15:00+00:00,1.14345,1.14486,1.14345,1.14448,1599,0
2025-04-22 20:30:00+00:00,1.14448,1.14514,1.14322,1.14331,1415,0
2025-04-22 20:45:00+00:00,1.1433200000000001,1.14539,1.14331,1.14502,907,0
2025-04-22 21:00:00+00:00,1.14502,1.14503,1.14368,1.1440299999999999,976,0
2025-04-22 21:15:00+00:00,1.1440299999999999,1.14413,1.1434199999999999,1.14351,891,0
2025-04-22 21:30:00+00:00,1.14351,1.14386,1.14239,1.1431499999999999,733,0
2025-04-22 21:45:00+00:00,1.1431499999999999,1.1431499999999999,1.14226,1.1427100000000001,813,0
2025-04-22 22:00:00+00:00,1.1427100000000001,1.14296,1.14228,1.14241,608,0
2025-04-22 22:15:00+00:00,1.14241,1.14276,1.14222,1.14276,613,0
2025-04-22 22:30:00+00:00,1.14276,1.14341,1.14254,1.14288,799,0
2025-04-22 22:45:00+00:00,1.14288,1.14288,1.14199,1.14208,823,0
2025-04-22 23:00:00+00:00,1.14209,1.1429,1.142,1.14278,646,0
2025-04-22 23:15:00+00:00,1.14278,1.14303,1.14199,1.142,331,0
2025-04-22 23:30:00+00:00,1.142,1.14215,1.1418,1.14184,285,0
2025-04-22 23:45:00+00:00,1.14184,1.14211,1.14175,1.14206,374,0
2025-04-23 00:00:00+00:00,1.14207,1.14245,1.14163,1.14245,44,17
2025-04-23 00:15:00+00:00,1.14245,1.14262,1.14081,1.14081,206,4
2025-04-23 00:30:00+00:00,1.14081,1.14081,1.13678,1.13768,421,0
2025-04-23 00:45:00+00:00,1.13801,1.13801,1.13618,1.1362,220,0
2025-04-23 01:00:00+00:00,1.13621,1.1369799999999999,1.13333,1.13581,1498,0
2025-04-23 01:15:00+00:00,1.13581,1.13589,1.13153,1.1317599999999999,1125,0
2025-04-23 01:30:00+00:00,1.1317599999999999,1.13373,1.13081,1.13346,1263,0
2025-04-23 01:45:00+00:00,1.13346,1.13442,1.13333,1.13373,885,0
2025-04-23 02:00:00+00:00,1.13376,1.13572,1.1329799999999999,1.1354,1646,0
2025-04-23 02:15:00+00:00,1.1353900000000001,1.13596,1.13469,1.13476,1222,0
2025-04-23 02:30:00+00:00,1.13477,1.13616,1.1344,1.13613,1291,0
2025-04-23 02:45:00+00:00,1.13613,1.13625,1.13436,1.13507,1299,0
2025-04-23 03:00:00+00:00,1.13507,1.13709,1.13494,1.1368,1863,0
2025-04-23 03:15:00+00:00,1.13682,1.1374900000000001,1.13666,1.13719,1428,0
2025-04-23 03:30:00+00:00,1.13719,1.13853,1.13719,1.13805,1361,0
2025-04-23 03:45:00+00:00,1.13805,1.13982,1.13772,1.13975,1434,0
2025-04-23 04:00:00+00:00,1.13975,1.14039,1.13843,1.1387,1611,0
2025-04-23 04:15:00+00:00,1.13871,1.13964,1.13865,1.13913,1433,0
2025-04-23 04:30:00+00:00,1.13913,1.14093,1.13908,1.14091,1131,0
2025-04-23 04:45:00+00:00,1.14091,1.14152,1.14052,1.14072,1140,0
2025-04-23 05:00:00+00:00,1.14072,1.14107,1.13954,1.1400000000000001,1104,0
2025-04-23 05:15:00+00:00,1.1400000000000001,1.14025,1.13944,1.13973,884,0
2025-04-23 05:30:00+00:00,1.13973,1.14011,1.13902,1.13988,1182,0
2025-04-23 05:45:00+00:00,1.13989,1.14047,1.13989,1.14047,1019,0
2025-04-23 06:00:00+00:00,1.14047,1.14052,1.13953,1.13953,706,0
2025-04-23 06:15:00+00:00,1.13953,1.13955,1.13777,1.13836,700,0
2025-04-23 06:30:00+00:00,1.13836,1.13873,1.1373,1.13812,765,0
2025-04-23 06:45:00+00:00,1.13812,1.13868,1.13782,1.1379299999999999,795,0
2025-04-23 07:00:00+00:00,1.13792,1.13814,1.1371,1.1372,883,0
2025-04-23 07:15:00+00:00,1.1372,1.13856,1.1371,1.13829,733,0
2025-04-23 07:30:00+00:00,1.13829,1.13885,1.13813,1.13879,696,0
2025-04-23 07:45:00+00:00,1.13879,1.13917,1.1386,1.13899,593,0
2025-04-23 08:00:00+00:00,1.13899,1.1395,1.13863,1.13937,750,0
2025-04-23 08:15:00+00:00,1.13937,1.13997,1.13877,1.13904,843,0
2025-04-23 08:30:00+00:00,1.1390500000000001,1.13953,1.13808,1.13808,1194,0
2025-04-23 08:45:00+00:00,1.13808,1.13819,1.13713,1.13769,1361,0
2025-04-23 09:00:00+00:00,1.1377,1.13954,1.13754,1.13899,1819,0
2025-04-23 09:15:00+00:00,1.13899,1.13965,1.1381000000000001,1.1384,1521,0
2025-04-23 09:30:00+00:00,1.13841,1.13858,1.1374900000000001,1.1385399999999999,1371,0
2025-04-23 09:45:00+00:00,1.1385399999999999,1.13898,1.13789,1.13849,1555,0
2025-04-23 10:00:00+00:00,1.13851,1.13946,1.13785,1.13916,2005,0
2025-04-23 10:15:00+00:00,1.13911,1.14051,1.13849,1.14024,1595,0
2025-04-23 10:30:00+00:00,1.14022,1.1408800000000001,1.13887,1.13927,1937,0
2025-04-23 10:45:00+00:00,1.13925,1.13955,1.13818,1.13858,1419,0
2025-04-23 11:00:00+00:00,1.13858,1.13918,1.13799,1.13845,1514,0
2025-04-23 11:15:00+00:00,1.13845,1.13962,1.13829,1.13954,1296,0
2025-04-23 11:30:00+00:00,1.13954,1.14062,1.1392,1.14062,1406,0
2025-04-23 11:45:00+00:00,1.14062,1.14153,1.14049,1.14131,1265,0
2025-04-23 12:00:00+00:00,1.14129,1.14308,1.14128,1.14259,1236,0
2025-04-23 12:15:00+00:00,1.14259,1.14392,1.1425,1.14299,1282,0
2025-04-23 12:30:00+00:00,1.14302,1.14399,1.14302,1.14312,1021,0
2025-04-23 12:45:00+00:00,1.14312,1.14314,1.14182,1.1418300000000001,977,0
2025-04-23 13:00:00+00:00,1.14182,1.1419,1.14055,1.14056,990,0
